timestamp,datetime,open,high,low,close,volume
1733472000000,2024-12-06T08:00:00,135.19,135.58,131.34,133.04,179121.776
1733486400000,2024-12-06T12:00:00,133.05,134.47,130.08,132.52,262796.801
1733500800000,2024-12-06T16:00:00,132.55,136.98,131.86,136.75,230343.754
1733515200000,2024-12-06T20:00:00,136.75,137.8,134.14,135.93,168466.441
1733529600000,2024-12-07T00:00:00,135.94,137.67,134.27,134.97,98290.828
1733544000000,2024-12-07T04:00:00,134.96,137.84,134.52,136.94,103950.548
1733558400000,2024-12-07T08:00:00,136.95,138.67,135.32,137.61,155410.476
1733572800000,2024-12-07T12:00:00,137.62,138.66,135.61,137.25,140537.668
1733587200000,2024-12-07T16:00:00,137.25,137.49,131.76,133.63,216440.483
1733601600000,2024-12-07T20:00:00,133.64,134.84,132.2,133.79,85094.322
1733616000000,2024-12-08T00:00:00,133.79,135.1,132.84,133.99,87209.09
1733630400000,2024-12-08T04:00:00,133.98,134.5,130.91,132.5,112913.22
1733644800000,2024-12-08T08:00:00,132.51,133.86,130.08,132.76,142759.756
1733659200000,2024-12-08T12:00:00,132.76,135.0,131.69,134.37,126050.855
1733673600000,2024-12-08T16:00:00,134.37,134.57,131.8,133.41,83758.106
1733688000000,2024-12-08T20:00:00,133.43,135.9,132.57,134.91,81194.18
1733702400000,2024-12-09T00:00:00,134.91,135.07,128.11,129.58,137468.861
1733716800000,2024-12-09T04:00:00,129.57,131.03,124.87,127.01,173444.353
1733731200000,2024-12-09T08:00:00,127.01,127.32,121.11,121.78,232130.405
1733745600000,2024-12-09T12:00:00,121.75,127.21,120.51,123.15,246576.202
1733760000000,2024-12-09T16:00:00,123.16,124.51,121.76,121.88,124965.973
1733774400000,2024-12-09T20:00:00,121.89,122.24,100.56,110.44,1196179.36
1733788800000,2024-12-10T00:00:00,110.43,113.03,105.01,109.52,532915.822
1733803200000,2024-12-10T04:00:00,109.51,114.77,107.24,113.99,345531.481
1733817600000,2024-12-10T08:00:00,113.96,114.84,111.78,112.35,266978.296
1733832000000,2024-12-10T12:00:00,112.33,112.8,104.42,104.9,605517.384
1733846400000,2024-12-10T16:00:00,104.92,107.84,101.23,107.17,579806.881
1733860800000,2024-12-10T20:00:00,107.16,111.5,106.4,109.8,252131.817
1733875200000,2024-12-11T00:00:00,109.79,110.66,106.01,109.62,245949.864
1733889600000,2024-12-11T04:00:00,109.65,111.12,108.86,108.94,122244.617
1733904000000,2024-12-11T08:00:00,108.95,113.24,108.88,112.79,185309.853
1733918400000,2024-12-11T12:00:00,112.78,118.31,112.59,116.72,409699.479
1733932800000,2024-12-11T16:00:00,116.74,117.84,114.45,117.27,180761.869
1733947200000,2024-12-11T20:00:00,117.27,118.68,117.04,117.3,123497.195
1733961600000,2024-12-12T00:00:00,117.3,122.04,116.46,120.49,193450.016
1733976000000,2024-12-12T04:00:00,120.49,124.0,120.49,121.56,252852.644
1733990400000,2024-12-12T08:00:00,121.59,122.9,119.46,120.47,179938.286
1734004800000,2024-12-12T12:00:00,120.49,123.86,120.2,121.7,336814.457
1734019200000,2024-12-12T16:00:00,121.71,125.01,118.16,118.83,310737.794
1734033600000,2024-12-12T20:00:00,118.83,121.03,116.93,119.24,219845.989
1734048000000,2024-12-13T00:00:00,119.23,122.08,117.04,121.6,159258.413
1734062400000,2024-12-13T04:00:00,121.58,122.35,118.46,119.25,152519.733
1734076800000,2024-12-13T08:00:00,119.24,121.92,118.54,120.44,104115.745
1734091200000,2024-12-13T12:00:00,120.44,123.39,118.1,118.41,213157.09
1734105600000,2024-12-13T16:00:00,118.38,120.98,117.5,120.8,243011.488
1734120000000,2024-12-13T20:00:00,120.81,125.3,120.54,124.52,188162.654
1734134400000,2024-12-14T00:00:00,124.52,125.34,122.18,123.21,137234.711
1734148800000,2024-12-14T04:00:00,123.26,123.8,121.93,122.67,86803.042
1734163200000,2024-12-14T08:00:00,122.67,123.57,121.1,121.44,95208.738
